Cincinnati Masters — 2021
matches: selected=55 rated=55 refused=0 players=56
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
 38  Matteo Arnaldi                   -8  1   -8.0      33rd  R64 loser    
 39  Sebastian Baez                   -8  2   -4.0      17th  R32 loser    
 40  Tommy Paul                       -8  1   -8.0      33rd  R64 loser    
 41  Tallon Griekspoor               -10  1  -10.0      33rd  R64 loser    
 42  Alejandro Davidovich Fokina     -12  1  -12.0      33rd  R64 loser    
 43  Alejandro Tabilo                -12  1  -12.0      33rd  R64 loser    
 44  Alexei Popyrin                  -12  1  -12.0      33rd  R64 loser    
 45  Corentin Moutet                 -12  1  -12.0      33rd  R64 loser    
 46  Daniil Medvedev                 -12  1  -12.0      17th  R32 loser    
 47  Giovanni Mpetshi Perricard      -12  1  -12.0      33rd  R64 loser    
 48  Mariano Navone                  -12  1  -12.0      33rd  R64 loser    
 49  Miomir Kecmanovic               -12  1  -12.0      33rd  R64 loser    
 50  Reilly Opelka                   -12  1  -12.0      33rd  R64 loser    
 51  Tomas Machac                    -12  1  -12.0      33rd  R64 loser    
 52  Aleksandar Kovacevic            -14  1  -14.0      33rd  R64 loser    
 53  Brandon Holt                    -14  1  -14.0      33rd  R64 loser    
 54  Casper Ruud                     -14  1  -14.0      17th  R32 loser    
 55  Francisco Cerundolo             -14  1  -14.0      33rd  R64 loser    
 56  Sebastian Korda                 -14  1  -14.0      33rd  R64 loser    

Cincinnati Masters — 2025
matches: selected=95 rated=87 refused=8 players=96
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
---  ---------------------------  ------  -  -----  --------  -------------
  1  Jannik Sinner                   +72  5   14.4       2nd  Finalist     
  2  Carlos Alcaraz                  +50  5   10.0       1st  Champion     
  3  Terence Atmane                  +40  6    6.7       3rd  SF loser     
  4  Alexander Zverev                +28  4    7.0       3rd  SF loser     
  5  Andrey Rublev                   +26  4    6.5       5th  QF loser     
  6  Frances Tiafoe                  +24  2   12.0       9th  R16 loser    
  7  Karen Khachanov                 +24  2   12.0       9th  R16 loser    
  8  Adrian Mannarino                +22  4    5.5       9th  R16 loser    
  9  Arthur Rinderknech              +20  2   10.0      17th  R32 loser    
 10  Reilly Opelka                   +18  3    6.0      17th  R32 loser    
 11  Taylor Fritz                    +18  3    6.0       9th  R16 loser    
 12  Hamad Medjedovic                +14  3    4.7      17th  R32 loser    
 13  Jakub Mensik                    +14  1   14.0      17th  R32 loser    
 14  Camilo Ugo Carabelli            +12  1   12.0      33rd  R64 loser    
 15  Roberto Bautista Agut           +12  3    4.0      17th  R32 loser    
 16  Felix Auger-Aliassime           +10  3    3.3       5th  QF loser     
 17  Holger Rune                     +10  3    3.3       5th  QF loser     
 18  Jenson Brooksby                 +10  3    3.3      17th  R32 loser    
 19  Tommy Paul                      +10  2    5.0      17th  R32 loser    
 20  Ben Shelton                      +8  3    2.7       5th  QF loser     
 21  Jiri Lehecka                     +8  3    2.7       9th  R16 loser    
 22  Stefanos Tsitsipas               +8  2    4.0      17th  R32 loser    
 23  Alexei Popyrin                   +6  2    3.0      17th  R32 loser    
 24  Benjamin Bonzi                   +6  4    1.5       9th  R16 loser    
 25  Corentin Moutet                  +6  2    3.0      33rd  R64 loser    
